City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,tamanrasset,22.785,5.5228,21.95,20,20,1.54,DZ,1697491610
188,zabaykal'sk,49.6333,117.3167,3.0,53,9,7.46,RU,1697492028
189,pandan,14.0453,124.1694,26.21,87,88,2.27,PH,1697492029
190,bardai,11.65,7.2333,25.61,36,99,2.09,NG,1697491565
191,barclayville,4.6797,-8.2339,24.24,92,99,1.96,LR,1697492029
192,inirida,3.8653,-67.9239,25.19,85,88,1.27,CO,1697492030
193,at taj,24.2049,23.2857,21.4,27,0,3.85,LY,1697491982
194,dryden,49.7833,-92.7503,12.16,50,0,2.57,CA,1697491960
195,genhe,50.7833,121.5167,-0.31,50,100,1.39,CN,1697491969
196,dzhambeyty,50.2536,52.595,9.91,50,1,7.45,KZ,1697492032
197,afaahiti,-17.75,-149.2833,28.93,82,78,4.87,PF,1697491582
198,portland,45.5234,-122.6762,19.79,88,75,3.6,US,1697491453
199,egilsstadir,65.2653,-14.3948,0.95,100,75,1.03,IS,1697491459
200,kingston,17.997,-76.7936,31.53,76,20,4.12,JM,1697491777
201,fort st. john,56.2499,-120.8529,9.94,71,100,2.06,CA,1697491450
202,bagamoyo,-6.4333,38.9,24.63,88,46,2.06,TZ,1697492034
203,elk city,35.412,-99.4043,19.12,30,0,3.09,US,1697492034
204,road town,18.4167,-64.6167,30.05,74,40,2.57,VG,1697491896
205,swakopmund,-22.6833,14.5333,14.47,87,6,1.34,NA,1697492035
206,aykhal,66.0,111.5,-3.85,94,100,4.92,RU,1697492035
207,traverse city,44.7631,-85.6206,10.11,72,100,4.63,US,1697491767
208,nadym,65.5333,72.5167,1.44,97,100,3.14,RU,1697491445
209,sao joao da barra,-21.6403,-41.0511,25.05,91,10,6.05,BR,1697492037
210,chu,43.5983,73.7614,9.14,43,0,2.89,KZ,1697492037
211,wynyard,-41.0,145.7167,9.53,53,0,0.2,AU,1697492037
212,kingscliff,-28.2667,153.5667,22.07,59,75,6.69,AU,1697492038
213,shache,38.4167,77.2406,15.54,29,100,1.5,CN,1697491607
214,maloye ganyushkino,46.6,49.2667,13.38,59,70,6.04,KZ,1697492038
215,san antonio de pale,-1.4014,5.6325,25.48,82,97,5.53,GQ,1697491966
216,jamaame,0.0697,42.745,25.37,91,74,3.24,SO,1697492039
217,san-pedro,4.7485,-6.6363,24.52,91,100,2.92,CI,1697492040
218,dakhla,23.6848,-15.958,24.01,69,97,5.14,EH,1697492040
219,labrador city,52.9463,-66.9114,3.95,70,75,4.63,CA,1697491814
220,general levalle,-34.0147,-63.9241,25.91,18,0,7.03,AR,1697492041
221,puerto baquerizo moreno,-0.9,-89.6,27.55,65,75,5.14,EC,1697491945
222,newman,37.3138,-121.0208,29.02,43,98,2.24,US,1697491599
223,greymouth,-42.4667,171.2,10.82,88,100,2.92,NZ,1697491952
224,slupsk,54.4641,17.0287,4.69,78,28,2.4,PL,1697492042
225,fada,9.5667,8.3,21.56,90,98,0.6,NG,1697491450
226,boucherville,45.591,-73.4361,15.62,65,100,3.6,CA,1697491906
227,shenjiamen,29.9576,122.298,19.44,68,0,2.13,CN,1697492043
228,daruvar,45.5906,17.225,6.08,65,97,1.16,HR,1697492044
229,qarauyl,48.9451,79.255,5.73,58,33,2.15,KZ,1697492044
230,bardsir,29.9227,56.5743,16.01,55,0,6.22,IR,1697492045
231,hasaki,35.7333,140.8333,12.22,68,0,4.29,JP,1697492045
232,emerald,-23.5333,148.1667,24.63,25,2,9.17,AU,1697492000
233,nemuro,43.3236,145.575,8.82,67,52,12.42,JP,1697492002
234,wewak,-3.5534,143.6268,27.64,77,77,1.08,PG,1697492046
235,tabarka,36.9544,8.758,18.36,68,20,1.03,TN,1697492047
236,saipan,15.1355,145.701,27.39,94,20,2.57,MP,1697491961
237,alaghsas,17.0187,8.0168,30.35,17,9,4.65,NE,1697491983
238,cururupu,-1.8283,-44.8683,25.43,85,44,1.72,BR,1697492048
239,lahat,-3.8,103.5333,21.69,67,14,1.3,ID,1697492049
240,vadso,70.0744,29.7487,2.49,86,40,5.66,NO,1697491977
241,fedorovskiy,45.0972,40.9517,11.07,84,100,9.39,RU,1697492050
242,t'ongch'on-up,38.9539,127.8917,10.54,63,0,2.65,KP,1697492050
243,basco,20.4487,121.9702,27.29,76,80,9.64,PH,1697492051
244,coahuayana de hidalgo,18.7,-103.6583,29.31,80,66,2.12,MX,1697492027
245,ghormach,35.7306,63.7826,13.25,39,0,1.97,AF,1697492052
246,zhongshu,24.5167,103.7667,13.16,96,62,0.95,CN,1697491611
247,kununurra,-15.7667,128.7333,16.99,59,0,3.09,AU,1697491586
248,chenzhou,25.8,113.0333,16.77,78,41,0.91,CN,1697492053
249,berdigestyakh,62.0989,126.6992,-4.84,69,100,4.47,RU,1697492053
250,luanco,43.6152,-5.7934,20.01,90,81,3.67,ES,1697492054
251,keflavik,64.0049,-22.5624,4.24,87,75,1.54,IS,1697492054
252,punta arenas,-53.15,-70.9167,10.06,57,75,10.8,CL,1697491972
253,luganville,-15.5333,167.1667,27.01,80,56,4.54,VU,1697492055
254,mount pearl,47.5166,-52.7813,8.97,97,100,10.8,CA,1697491459
255,labuan,5.2767,115.2417,25.2,94,20,1.03,MY,1697492056
256,north haven,41.3909,-72.8595,16.17,84,100,3.6,US,1697492056
257,barcelos,41.5388,-8.6151,22.08,74,100,6.57,PT,1697492057
258,new norfolk,-42.7826,147.0587,8.29,62,10,1.76,AU,1697492057
259,aktobe,50.2797,57.2072,3.05,93,0,3.0,KZ,1697492058
260,oranjemund,-28.55,16.4333,16.74,77,3,2.98,NA,1697492017
261,polyarnyy,69.1989,33.4478,3.3,78,100,13.08,RU,1697492058
262,barceloneta,18.4505,-66.5385,32.36,81,63,1.52,PR,1697492059
263,namdrik,5.5994,168.1028,28.78,73,64,4.1,MH,1697492059
264,port lincoln,-34.7333,135.8667,13.44,68,5,5.5,AU,1697492009
265,san julian,21.0167,-102.1667,25.14,27,20,5.44,MX,1697491568
266,hami,42.8,93.45,10.49,44,100,3.03,CN,1697492060
267,ghanzi,-21.5667,21.7833,19.26,20,0,5.29,BW,1697492061
268,villa mercedes,-33.6757,-65.4578,22.53,17,0,7.45,AR,1697492011
269,sisimiut,66.9395,-53.6735,-6.58,86,96,5.03,GL,1697492062
270,alapli,41.1694,31.3792,13.51,84,99,3.0,TR,1697492062
271,vilyuchinsk,52.9306,158.4028,8.15,92,100,10.27,RU,1697492062
272,gordonvale,-17.0936,145.7842,19.88,49,68,1.28,AU,1697492063
273,mananjary,-21.2167,48.3333,23.15,95,71,1.68,MG,1697492063
274,fernie,49.5,-115.0687,20.05,56,100,2.8,CA,1697492064
275,butembo,0.15,29.2833,14.23,98,100,0.77,CD,1697492064
276,san luis de la loma,17.2706,-100.8939,28.64,82,91,1.44,MX,1697492047
